,Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
58,Ethiopia,4.0,0.0,1.0,7.8,-2.3,-11.4,9.7,13.9,0.6,-0.5,2.6,-7.2,-8.9,13.4,3.5,6.1,13.5,2.8,-4.2,6.3,9.8,7.4,1.6,-2.1,11.7,12.6,11.5,11.8,11.2,10.0,10.6,11.4,8.7,9.9,10.3,10.4,8.0,10.2,7.7,9.0,6.1,6.3,6.4,7.2,6.1,6.5,7.1,7.7,8.0,7.8
59,Fiji,-1.7,6.0,-1.1,-4.2,10.1,-3.8,6.6,-7.2,3.5,13.9,5.8,-2.7,6.1,2.6,5.1,2.6,4.8,-2.4,1.3,8.7,-1.7,1.9,3.2,0.8,5.4,-1.3,1.9,-0.9,1.0,-1.4,3.0,2.7,1.4,4.7,5.6,4.5,2.4,5.4,3.8,-0.6,-17.0,-4.9,19.8,7.5,3.0,3.4,3.4,3.3,3.3,3.1
60,Finland,5.7,1.3,3.1,3.1,3.2,3.5,2.7,3.6,5.2,5.1,0.2,-5.9,-3.3,-0.8,4.0,4.2,3.7,6.4,5.5,4.4,5.8,2.6,1.7,2.0,4.0,2.8,4.0,5.3,0.8,-8.1,3.2,2.4,-1.5,-1.0,-0.5,0.5,2.6,3.3,1.2,1.3,-2.5,2.7,1.5,-1.2,-0.2,2.0,1.8,1.7,1.6,1.5
61,France,1.8,1.2,2.4,1.3,1.7,1.7,2.3,2.6,4.7,4.6,2.8,1.3,1.4,-0.4,2.4,2.5,1.3,2.5,3.5,3.3,4.4,1.8,1.1,1.0,2.5,2.0,2.9,2.5,0.3,-2.7,1.8,2.5,0.2,0.9,1.0,1.0,0.7,2.3,1.6,2.1,-7.6,6.8,2.6,1.1,1.1,1.1,1.3,1.4,1.4,1.3
62,Gabon,0.0,-4.0,4.1,2.0,4.9,5.8,-2.1,-15.4,3.5,15.4,5.1,6.1,-3.1,3.9,3.7,5.0,3.6,5.7,3.5,-8.9,-1.9,2.1,0.2,1.7,1.1,-0.8,-1.9,6.3,1.7,-2.3,6.3,7.1,5.3,5.5,4.4,3.9,2.1,0.5,0.9,3.8,-1.8,1.5,3.0,2.4,3.1,2.6,2.6,2.5,2.5,2.6
63,"Gambia, The",0.7,-9.5,20.8,13.5,-7.6,3.6,2.4,2.8,1.7,4.3,5.7,2.2,1.8,3.8,-3.4,3.3,2.9,1.4,6.5,6.4,5.5,5.8,-3.2,6.9,7.0,-2.4,-0.6,3.0,6.3,6.7,5.9,-8.1,5.2,2.9,-1.4,4.1,1.9,4.8,7.2,6.2,0.6,5.3,4.9,5.3,5.8,5.8,5.0,5.0,5.0,5.0
64,Georgia,240.69999999999996,216.89999999999998,193.1,169.29999999999998,145.49999999999997,121.69999999999999,97.89999999999998,74.1,50.29999999999999,26.499999999999993,2.6999999999999957,-21.1,-44.9,-29.3,-10.4,2.6,10.5,10.3,3.0,2.9,1.9,4.8,5.5,11.2,5.8,9.6,9.4,12.6,2.4,-3.7,6.9,7.9,6.6,5.1,4.1,3.4,3.4,5.2,6.1,5.4,-6.3,10.6,11.0,7.5,7.6,6.0,5.0,5.0,5.0,5.0
65,Germany,1.3,0.1,-0.8,1.6,2.8,2.2,2.4,1.5,3.7,3.9,5.7,5.0,2.0,-1.0,2.6,1.5,1.0,1.9,2.1,2.1,2.9,1.6,-0.2,-0.5,1.2,0.9,3.9,2.9,0.9,-5.5,4.1,3.8,0.5,0.4,2.2,1.7,2.3,2.7,1.1,1.0,-4.1,3.7,1.4,-0.3,0.0,0.8,1.4,1.1,0.8,0.7
66,Ghana,0.5,-3.8,-8.3,-6.2,9.4,6.4,6.2,6.7,6.5,4.5,3.6,4.8,4.5,4.8,3.5,4.2,4.8,5.8,5.0,4.5,3.6,3.8,4.6,5.1,5.4,6.2,5.8,4.1,9.0,5.7,7.8,13.9,8.4,7.2,2.9,2.1,3.4,8.1,6.2,6.5,0.5,5.1,3.8,2.9,3.1,4.4,4.9,5.0,5.0,5.0
67,Greece,0.7,-1.6,-1.1,-1.1,2.0,2.5,0.5,-2.3,4.3,3.8,0.0,3.1,0.7,-1.6,2.0,2.1,2.9,4.5,3.9,3.1,3.9,4.1,3.9,5.8,5.1,0.6,5.7,3.3,-0.3,-4.3,-5.5,-10.1,-7.1,-2.5,0.5,-0.2,-0.5,1.1,1.7,1.9,-9.3,8.4,5.6,2.0,2.3,2.0,1.7,1.5,1.4,1.3
68,Grenada,15.1,1.4,4.1,3.3,4.0,6.0,7.4,9.1,2.9,3.8,4.2,1.4,-0.8,-2.0,1.8,2.2,4.4,4.9,11.8,7.0,5.1,-2.0,3.4,9.5,-0.6,13.3,-4.0,6.1,0.9,-6.6,-0.5,0.8,-1.2,2.4,7.3,6.4,3.7,4.4,4.4,0.7,-13.8,4.7,7.3,4.7,3.0,3.9,3.3,2.7,2.7,2.7
69,Guatemala,3.7,0.6,-3.5,-2.5,0.5,-0.6,0.1,3.6,3.9,3.9,3.1,3.0,4.6,3.4,3.5,4.4,2.8,4.1,4.6,3.7,2.5,3.1,3.8,2.6,3.1,3.3,5.4,6.3,3.3,0.5,2.9,4.2,3.0,3.7,4.4,4.1,2.7,3.1,3.4,4.0,-1.8,8.0,4.2,3.5,3.5,3.6,3.7,3.8,3.8,3.8
70,Guinea,2.6,0.6,1.8,1.3,1.4,5.0,3.1,3.3,6.3,4.0,4.3,2.5,3.3,5.0,4.0,4.7,4.5,5.2,3.6,3.8,2.5,3.7,5.2,1.2,2.3,3.0,2.5,6.5,4.1,-1.5,4.2,5.6,5.9,3.9,3.7,3.8,10.8,10.3,6.4,5.6,4.7,5.6,4.0,5.7,4.1,5.7,5.7,5.6,5.6,5.6
71,Guinea-Bissau,0.0,-0.5,4.2,-3.4,5.5,4.3,-1.0,5.6,2.0,2.9,4.6,7.3,3.1,2.3,3.0,4.0,3.7,6.0,-22.4,16.8,1.1,4.8,3.7,-0.3,1.2,6.6,2.7,2.6,4.5,2.4,5.6,8.1,-1.7,3.3,1.0,6.1,5.3,4.8,3.8,4.5,1.5,6.2,4.6,5.2,5.0,5.0,5.0,5.0,4.5,4.5
72,Guyana,-2.1,0.6,-8.9,-11.5,2.1,0.4,-0.2,-0.1,-6.0,-4.9,-3.0,6.0,7.8,8.2,8.5,5.1,8.0,6.2,-1.7,3.0,-1.3,2.3,1.1,-0.7,1.6,-1.9,5.1,7.0,2.0,3.3,4.4,5.4,5.0,3.7,1.7,0.7,3.8,3.7,4.4,5.4,43.5,20.1,62.3,33.0,43.8,14.4,17.5,21.0,13.5,11.9
73,Haiti,7.3,1.1,-2.8,-1.5,0.2,0.8,0.3,-0.4,0.6,-1.1,-0.4,1.3,-2.3,-4.9,-11.6,9.9,4.1,2.7,2.2,2.7,0.9,-0.3,1.1,3.5,-1.3,3.1,1.8,4.7,2.7,5.9,-5.7,5.1,0.5,4.3,1.7,2.6,1.8,2.5,1.7,-1.7,-3.3,-1.8,-1.7,-1.9,-4.0,1.0,1.5,1.5,1.5,1.5
74,Honduras,0.6,-1.2,-2.1,0.9,6.3,5.6,5.3,6.6,1.7,2.7,2.8,-3.3,6.1,6.5,0.2,6.2,1.9,4.6,3.6,-0.7,7.3,2.7,3.8,4.5,6.2,6.1,6.6,6.2,4.2,-2.4,3.7,3.8,4.1,2.8,3.1,3.8,3.9,4.8,3.8,2.6,-9.0,12.6,4.1,3.6,3.6,3.5,3.7,3.8,3.8,3.8
75,Hong Kong SAR,10.3,9.2,2.9,6.0,10.0,0.7,11.1,13.4,8.5,2.3,3.8,5.7,6.2,6.2,6.0,2.4,4.3,5.1,-5.9,2.5,7.7,0.6,1.7,3.1,8.7,7.4,7.0,6.5,2.1,-2.5,6.8,4.8,1.7,3.1,2.8,2.4,2.2,3.8,2.8,-1.7,-6.5,6.5,-3.7,3.3,3.2,3.0,2.9,2.7,2.5,2.4
76,Hungary,0.2,2.9,2.8,0.7,2.7,-0.3,1.5,4.1,-0.1,0.7,-3.5,-11.9,-3.1,-0.6,2.9,2.5,0.1,3.1,3.9,3.1,4.5,4.1,4.7,4.1,5.0,4.3,3.9,0.3,1.0,-6.6,1.1,1.9,-1.3,1.8,4.2,3.7,2.2,4.3,5.4,4.9,-4.5,7.1,4.6,-0.9,1.5,2.9,3.0,3.0,3.2,3.2
77,Iceland,5.7,4.3,2.2,-2.2,4.1,3.3,6.3,8.5,-0.1,0.3,1.2,-0.2,-3.4,1.3,3.6,0.1,4.6,5.8,7.4,4.0,5.0,4.0,0.6,2.1,7.8,6.1,6.3,8.5,2.2,-7.7,-2.8,1.8,1.1,4.6,1.7,4.4,6.3,4.2,4.9,1.9,-6.9,5.3,9.0,5.0,0.6,2.4,2.2,2.3,2.4,2.4
78,India,6.7,6.0,3.5,7.3,3.8,5.3,4.8,4.0,9.6,5.9,5.5,1.1,5.5,4.8,6.7,7.6,7.5,4.0,6.2,8.8,3.8,4.8,3.8,7.9,7.9,7.9,8.1,7.7,3.1,7.9,8.5,5.2,5.5,6.4,7.4,8.0,8.3,6.8,6.5,3.9,-5.8,9.7,7.0,8.2,7.0,6.5,6.5,6.5,6.5,6.5
79,Indonesia,9.9,7.6,2.2,4.2,7.6,3.9,7.2,6.6,7.0,9.1,9.0,8.9,6.5,8.0,7.5,8.2,7.8,4.7,-13.1,0.8,5.0,3.6,4.5,4.8,5.0,5.7,5.5,6.3,7.4,4.7,6.4,6.2,6.0,5.6,5.0,4.9,5.0,5.1,5.2,5.0,-2.1,3.7,5.3,5.0,5.0,5.1,5.1,5.1,5.1,5.1
80,Iran,-21.6,-5.7,23.2,11.1,-7.1,1.9,-9.8,-0.2,-6.1,6.1,13.6,12.7,3.3,-1.5,-1.7,2.4,6.4,1.4,2.1,2.0,5.8,2.4,8.1,8.6,4.3,3.2,5.0,8.2,0.3,1.0,5.8,2.6,-3.7,-1.5,5.0,-1.4,8.8,2.8,-1.8,-3.1,3.3,4.7,3.8,5.0,3.7,3.1,2.8,2.4,2.0,2.0
81,Iraq,211.8,201.8,191.8,181.8,171.8,161.8,151.8,141.8,131.8,121.8,111.8,101.8,91.8,81.8,71.8,61.8,51.8,41.8,31.8,21.8,11.8,1.8,-8.2,-36.7,53.4,1.7,5.6,1.9,8.2,3.4,6.4,7.5,13.9,7.6,0.7,2.5,16.2,-1.5,2.6,5.6,-12.4,1.4,7.7,-2.9,0.1,4.1,5.2,4.2,4.2,4.2
82,Ireland,2.9,2.5,1.5,-0.7,3.2,1.9,0.4,3.6,3.0,5.6,7.7,1.6,3.6,2.3,5.9,9.6,9.1,10.7,8.8,10.5,9.4,5.3,5.9,3.0,6.8,5.7,5.0,5.3,-4.5,-5.1,1.7,1.6,-0.4,2.2,9.3,24.6,1.2,10.0,7.5,5.0,7.2,16.3,8.6,-5.5,-0.2,2.2,2.4,2.3,2.3,2.3
83,Israel,3.6,4.7,1.4,2.6,2.2,4.5,3.6,7.5,3.6,1.4,6.6,4.6,7.2,3.8,7.0,9.7,5.9,3.7,4.0,3.3,8.6,0.3,-0.1,1.5,4.7,4.2,5.6,6.1,3.2,1.2,5.5,5.5,2.4,4.1,3.8,2.3,4.4,4.3,4.1,3.8,-1.5,9.5,6.4,2.0,0.7,2.7,4.8,3.1,3.3,3.4
84,Italy,3.1,-1.2,0.4,1.2,3.2,2.8,2.9,3.2,4.2,3.4,2.1,1.4,0.8,-0.9,2.2,2.9,1.2,1.8,1.8,1.7,3.9,2.0,0.3,0.1,1.5,0.8,1.8,1.5,-1.0,-5.3,1.5,0.7,-3.1,-1.8,0.0,0.9,1.2,1.6,0.8,0.4,-8.9,8.9,4.7,0.7,0.7,0.8,0.7,0.6,0.7,0.7
85,Jamaica,-4.0,4.4,3.1,4.2,0.9,-0.9,7.0,7.7,-4.0,4.7,4.9,0.8,2.8,2.2,1.9,2.5,0.2,-1.6,-1.2,1.0,0.8,1.3,0.7,3.7,1.3,0.9,2.9,1.4,-0.8,-3.4,-1.4,1.4,-0.5,0.2,0.6,0.9,1.5,0.7,1.8,1.0,-9.9,4.6,5.2,2.6,1.3,2.1,1.6,1.6,1.6,1.6
86,Japan,3.2,4.3,3.3,3.6,4.4,5.2,3.3,4.6,6.7,4.9,4.8,3.5,0.9,-0.5,1.1,2.6,3.1,1.0,-1.3,-0.3,2.8,0.4,0.0,1.5,2.2,1.8,1.4,1.5,-1.2,-5.7,4.1,0.0,1.4,2.0,0.3,1.6,0.8,1.7,0.6,-0.4,-4.2,2.7,1.2,1.7,0.3,1.1,0.8,0.6,0.6,0.5
87,Jordan,11.1,15.0,5.8,1.4,5.5,-1.1,5.9,2.7,2.9,-10.7,-1.6,-5.7,16.9,4.4,5.0,6.0,1.9,3.7,3.2,3.2,4.2,5.0,6.6,4.0,8.3,8.8,8.5,8.4,7.4,5.0,2.3,2.7,2.4,2.6,3.4,2.5,2.0,2.5,1.9,1.8,-1.1,3.7,2.4,2.6,2.4,2.9,3.0,3.0,3.0,3.0
88,Kazakhstan,35.0,31.600000000000005,28.200000000000006,24.8,21.400000000000002,18.000000000000004,14.600000000000005,11.200000000000003,7.800000000000001,4.400000000000002,1.0000000000000018,0.0,0.0,-9.2,-12.6,-8.2,0.5,1.7,-1.9,2.7,9.8,13.5,9.8,9.3,9.6,9.7,10.7,8.9,3.3,1.2,7.3,7.5,5.0,5.9,4.3,1.0,0.9,3.9,4.1,4.5,-2.6,4.1,3.3,5.1,3.5,4.6,3.5,3.6,2.3,3.0
89,Kenya,5.6,4.1,5.1,1.6,1.6,4.1,7.0,5.8,6.1,4.6,4.1,1.3,-1.1,-0.1,2.5,4.3,4.5,0.4,3.0,2.2,0.3,4.0,0.5,2.9,4.6,5.7,5.9,6.9,0.2,3.3,8.1,5.1,4.6,3.8,5.0,5.0,4.2,3.8,5.7,5.1,-0.3,7.6,4.9,5.6,5.0,5.0,5.0,5.0,5.0,5.0
90,Kiribati,-1.1,6.1,-1.1,-9.8,13.9,-13.2,-2.5,1.3,22.0,-7.3,-6.4,-5.6,24.0,-0.1,2.0,2.8,-0.1,1.2,4.4,-3.9,6.7,-3.1,1.4,-1.6,-0.6,1.3,5.8,3.1,-3.0,0.5,1.2,3.3,5.8,7.7,1.3,11.3,7.1,3.7,3.5,3.3,-0.6,8.5,3.9,4.1,5.8,4.1,3.3,2.5,2.1,2.1
91,"Korea, Republic of",-1.6,7.2,8.3,13.4,10.6,7.8,11.3,12.7,12.0,7.1,9.9,10.8,6.2,6.9,9.3,9.6,7.9,6.2,-5.1,11.5,9.2,4.7,7.7,3.1,5.2,4.4,5.2,5.8,3.0,0.8,7.0,3.7,2.5,3.3,3.2,2.9,3.2,3.4,3.2,2.3,-0.7,4.6,2.7,1.4,2.5,2.2,2.2,2.1,2.1,2.0
92,Kosovo,109.6,104.6,99.6,94.6,89.6,84.6,79.6,74.6,69.6,64.6,59.6,54.6,49.6,44.6,39.6,34.6,29.6,24.6,19.6,14.6,9.6,4.6,-0.4,2.6,0.6,4.5,3.6,8.3,1.8,5.0,4.9,6.3,1.7,5.3,3.3,5.9,5.6,4.8,3.4,4.8,-5.3,10.7,4.3,3.3,3.8,4.0,4.0,3.9,3.9,3.8
93,Kuwait,0.0,0.0,-9.5,5.3,5.2,-4.3,8.6,8.1,-10.0,25.9,-26.2,-41.0,82.8,35.1,8.6,1.7,0.6,2.5,3.7,-1.8,4.7,0.2,3.0,17.3,10.2,10.6,7.5,6.0,2.5,-7.1,-2.4,9.6,6.6,1.1,0.5,0.6,2.9,-4.7,2.7,2.3,-4.8,2.3,5.9,-3.6,-2.7,3.3,2.5,2.6,2.6,2.6
94,Kyrgyz Republic,75.4,68.60000000000001,61.80000000000001,55.0,48.2,41.400000000000006,34.60000000000001,27.800000000000004,21.0,14.200000000000003,7.400000000000002,0.6000000000000014,0.0,-13.0,-19.8,-5.4,7.1,9.9,2.1,3.7,5.4,5.3,0.0,7.0,7.0,-0.2,3.1,8.5,7.6,2.9,-0.5,6.0,-0.1,10.9,4.0,3.9,4.3,4.7,3.5,4.6,-7.1,5.5,9.0,6.2,6.5,5.0,4.1,5.0,4.1,4.1
95,Lao P.D.R.,10.0,15.3,4.7,3.0,6.4,9.1,4.8,-1.0,-2.1,9.9,6.7,4.0,7.0,5.9,8.2,7.0,6.9,6.9,4.3,4.0,6.4,4.8,6.8,6.2,7.2,6.9,9.0,7.9,7.8,7.4,8.0,8.0,7.8,8.0,7.6,7.3,7.0,6.9,6.2,4.7,-0.4,2.1,2.3,3.7,4.1,3.5,3.1,2.8,2.6,2.5
96,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.4,2.2,-2.1,2.6,8.8,6.3,2.8,5.7,6.3,7.1,8.4,8.3,10.7,12.0,9.9,-3.2,-14.3,-4.5,2.6,7.0,2.0,1.9,3.9,2.4,3.3,4.0,0.6,-3.5,6.7,3.0,-0.3,1.2,2.3,2.5,2.5,2.5,2.5
97,Lebanon,1.5,0.5,-36.8,22.7,44.5,24.3,-6.8,16.7,-28.2,-42.2,-13.4,38.2,4.5,7.0,8.0,6.5,4.0,10.2,3.9,-0.8,1.1,3.9,3.4,1.7,7.5,2.7,1.5,9.3,9.1,10.2,8.0,0.9,2.5,3.8,2.5,0.5,1.6,0.9,-1.9,-6.8,-24.6,2.0,1.0,-0.7,,,,,,
98,Lesotho,-0.8,3.1,5.6,3.0,4.8,3.0,3.8,2.7,7.9,6.0,6.4,7.5,6.1,4.0,5.2,4.1,4.8,3.3,1.3,1.4,4.0,3.3,2.4,4.2,2.1,3.3,4.2,4.2,3.8,0.4,5.1,5.1,5.1,1.8,2.1,3.2,1.9,-2.7,-1.5,-2.9,-5.3,1.7,1.6,2.2,2.8,2.3,1.9,2.1,2.1,2.1
99,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999993,2.8,4.4,-29.0,4.0,5.9,8.5,13.1,6.1,5.2,6.4,7.7,8.4,8.8,0.7,0.0,-1.6,2.5,1.2,-2.5,-3.0,5.0,4.8,4.6,5.1,5.8,5.9,6.0,6.0,6.0
100,Libya,0.6,-20.0,1.5,-4.7,-8.3,0.6,-11.4,-14.7,7.6,7.2,3.7,18.3,-4.5,-5.5,3.2,-15.4,1.8,-2.6,-0.7,-0.2,4.0,2.6,-3.7,16.1,5.8,10.6,0.3,6.2,-0.2,-4.4,5.0,-50.3,86.8,-18.0,-23.0,-0.8,-1.5,32.5,7.9,-11.2,-29.5,28.3,-8.3,10.2,2.4,13.7,4.1,2.0,2.1,2.3
101,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0999999999999996,5.2,8.3,7.5,-1.1,3.7,6.6,6.7,10.5,6.5,7.9,7.4,11.1,2.4,-14.7,1.6,6.1,3.8,3.6,3.5,2.0,2.6,4.3,4.0,4.6,0.1,6.2,2.4,-0.3,2.4,2.6,2.4,2.2,2.2,2.2
102,Luxembourg,3.2,0.8,1.0,1.9,4.7,5.6,10.0,4.0,8.5,9.8,5.3,8.6,1.8,4.2,3.8,1.4,1.5,5.9,6.5,8.4,8.4,3.1,3.2,2.6,4.2,2.5,6.0,8.1,-0.3,-3.2,3.8,1.0,1.6,3.2,2.6,2.3,5.0,1.3,1.2,2.9,-0.9,7.2,1.4,-1.1,1.3,2.7,2.5,2.3,2.3,2.3
103,Macao SAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000025,3.5000000000000018,6.200000000000001,8.9,11.6,26.6,8.1,13.4,14.5,3.4,1.3,25.1,21.6,9.2,10.8,-2.0,-21.5,-0.7,9.9,6.4,-2.6,-54.3,23.5,-21.4,80.5,10.6,7.3,4.4,3.2,3.0,3.0
104,Madagascar,0.8,-9.8,-1.9,0.9,1.8,1.2,2.0,1.2,3.4,4.1,3.1,-6.3,1.2,2.1,0.0,1.7,2.2,3.7,3.9,4.7,4.5,6.0,-12.4,9.8,5.3,4.8,5.4,5.7,6.7,-4.0,0.6,1.6,3.0,2.3,3.3,3.1,4.0,3.9,3.2,4.4,-7.1,5.7,4.0,3.8,4.5,4.6,4.7,4.8,5.0,5.0
105,Malawi,0.4,-5.2,2.5,3.7,5.4,4.6,-0.2,1.6,3.2,1.3,5.7,8.7,-7.3,9.7,-10.3,13.8,10.0,6.6,1.1,3.5,0.8,-4.1,1.8,5.7,5.4,3.3,4.7,9.6,7.6,8.3,6.9,4.9,1.9,5.2,5.7,3.0,2.3,4.0,4.4,5.4,1.0,4.6,0.9,1.5,1.8,4.0,4.3,4.5,4.6,4.6
106,Malaysia,7.4,6.9,5.9,6.3,7.8,-0.9,1.2,5.4,9.9,9.1,9.0,9.5,8.9,9.9,9.2,9.8,10.0,7.3,-7.4,6.1,8.7,0.5,5.4,5.8,6.8,5.0,5.6,6.3,4.8,-1.5,7.5,5.3,5.5,4.7,6.0,5.0,4.4,5.8,4.8,4.4,-5.5,3.3,8.9,3.6,4.8,4.4,4.4,4.0,4.0,4.0
107,Maldives,18.8,7.9,7.5,4.4,17.4,13.8,8.6,8.9,8.7,9.3,-4.0,6.9,6.5,5.4,7.5,7.4,9.1,10.4,9.8,7.2,4.7,1.5,6.1,14.2,6.0,-11.2,23.6,7.1,9.0,-8.2,6.8,8.6,2.4,7.0,7.8,4.0,6.6,7.1,8.7,7.3,-32.9,37.7,13.9,4.0,4.7,4.7,4.8,4.5,4.5,4.5
108,Mali,3.3,-4.5,-11.6,3.2,2.4,3.2,6.1,2.5,0.1,10.7,9.3,7.7,-1.6,3.6,3.8,3.0,7.3,4.8,2.9,6.2,-0.1,15.4,3.1,9.1,1.6,6.5,4.7,3.5,4.8,4.7,5.4,3.2,-0.8,2.3,7.1,6.2,5.9,5.3,4.7,4.8,-1.2,3.1,3.5,4.4,3.8,4.4,4.9,4.9,4.9,4.9
109,Malta,7.0,2.7,0.1,2.6,0.8,2.4,3.8,5.7,6.8,7.1,4.7,5.9,8.1,3.9,4.6,6.9,4.0,4.8,3.4,3.8,-1.0,-0.8,2.7,3.7,0.4,2.9,2.3,5.0,4.4,-1.4,6.2,1.0,4.1,6.3,7.6,9.6,4.1,13.0,7.2,4.1,-3.5,13.5,4.1,7.5,5.0,4.0,3.5,3.5,3.5,3.5
110,Marshall Islands,12.000000000000002,11.3,10.600000000000001,9.900000000000002,9.200000000000001,8.500000000000002,7.800000000000001,7.100000000000001,6.400000000000001,5.700000000000001,5.000000000000001,4.300000000000001,3.6,2.9000000000000004,2.2,1.5,0.8000000000000002,0.10000000000000009,-0.6,-1.3,2.7,7.1,3.5,-1.6,-0.7,1.8,0.2,3.7,-7.6,3.7,5.6,-0.5,-1.3,3.8,-1.3,1.9,2.5,3.6,5.5,10.5,-2.8,1.2,-1.1,-3.9,5.0,3.5,2.8,2.5,2.0,2.0
111,Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,5.9,-3.1,9.8,5.8,-4.0,2.8,3.7,-3.9,-0.8,1.4,6.9,4.7,8.6,18.3,-2.0,-0.3,0.1,2.6,4.2,4.5,4.2,4.3,5.4,1.3,6.3,4.8,3.1,-0.4,0.7,6.8,6.5,4.4,4.2,4.2,5.3,6.4,4.5
112,Mauritius,-10.1,5.9,5.5,0.4,4.8,6.9,9.7,10.2,6.8,4.5,7.2,4.4,6.5,5.1,4.1,4.3,5.6,5.7,6.1,2.6,8.2,3.2,1.6,6.0,4.3,1.5,4.5,5.7,5.4,3.3,4.4,4.1,3.5,3.4,3.8,3.7,3.9,3.9,4.0,2.9,-14.5,3.4,8.9,7.0,6.1,4.0,4.0,4.0,4.0,4.0
113,Mexico,9.5,9.6,0.0,-4.6,3.5,1.9,-3.9,2.1,1.2,3.6,5.3,4.0,3.6,2.9,4.4,-5.9,6.2,7.2,6.2,2.8,5.0,-0.5,-0.2,1.2,3.6,2.1,4.8,2.1,0.9,-6.3,5.0,3.4,3.6,0.9,2.5,2.7,1.8,1.9,2.0,-0.4,-8.4,6.0,3.7,3.2,1.5,1.3,2.0,2.3,2.1,2.1
114,"Micronesia, Fed. States of",43.10000000000001,40.20000000000001,37.30000000000001,34.400000000000006,31.500000000000004,28.600000000000005,25.700000000000003,22.8,19.900000000000002,17.000000000000004,14.100000000000001,11.200000000000003,8.3,5.400000000000001,2.500000000000001,0.0,-3.3,-6.2,2.8,1.1,4.6,1.8,0.4,1.8,-3.2,2.3,-0.2,-1.7,-2.6,1.1,2.1,3.8,-1.7,-3.7,-2.6,4.4,0.9,2.3,0.1,3.8,-1.9,3.0,-0.9,0.8,1.1,1.7,1.1,0.8,0.7,0.7
