,Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
174,Thailand,4.6,5.9,5.4,5.6,5.8,4.6,5.5,9.5,13.3,12.2,11.6,8.4,9.2,8.7,8.0,8.1,5.7,-2.8,-7.6,4.6,4.5,3.4,6.1,7.2,6.3,4.2,5.0,5.4,1.7,-0.7,7.5,0.8,7.2,2.7,1.0,3.1,3.4,4.2,4.2,2.1,-6.1,1.6,2.5,1.9,2.8,3.0,2.6,2.7,2.7,2.7
175,Timor-Leste,499.3,476.3,453.3,430.3,407.3,384.3,361.3,338.3,315.3,292.3,269.3,246.3,223.3,200.3,177.3,154.3,131.3,108.3,85.3,62.3,39.3,16.3,-6.7,-2.2,0.4,3.0,-4.1,10.3,11.4,10.1,9.3,6.0,4.9,3.1,4.5,2.8,3.4,-3.1,-0.7,2.1,-7.2,1.6,4.0,2.3,3.0,3.1,3.2,3.1,3.1,3.0
176,Togo,-2.3,-3.4,-3.7,-5.2,5.9,3.7,3.3,-2.5,10.1,4.1,5.9,-0.6,-3.2,-16.3,13.9,19.7,-3.9,3.8,-2.3,2.5,-1.0,0.8,3.8,6.7,-1.0,-4.7,2.7,1.2,4.0,5.5,5.9,5.8,6.3,5.8,5.6,5.5,5.7,4.0,4.8,4.9,2.0,6.0,5.8,5.6,5.3,5.3,5.5,5.5,5.5,5.5
177,Tonga,15.8,14.0,12.8,5.8,44.1,5.6,8.8,1.7,-3.5,1.1,4.7,5.9,-3.8,-0.1,2.0,7.9,0.1,-0.6,2.3,2.3,3.8,1.5,4.5,0.1,-1.9,-0.4,-2.2,-2.5,4.8,-5.2,0.8,6.8,2.4,0.5,1.9,1.3,6.8,3.4,0.9,-0.2,1.3,-1.3,0.0,2.0,1.8,2.4,2.0,1.6,1.4,1.2
178,Trinidad and Tobago,10.4,4.6,3.8,-10.3,-5.8,-4.1,-3.3,-4.6,-3.9,-0.8,1.5,3.1,10.1,-0.7,3.6,3.8,7.1,7.5,8.1,8.0,6.9,3.7,7.2,13.9,7.3,5.9,14.2,4.3,3.3,-4.8,3.5,-0.2,5.4,3.5,3.9,-0.8,-7.5,-4.8,-0.6,0.4,-9.1,-1.0,1.5,1.1,1.6,2.4,1.0,2.2,2.8,2.8
179,Tunisia,7.4,5.5,-0.5,4.7,5.7,5.7,-1.5,6.7,0.1,2.6,7.1,4.1,8.0,2.5,3.6,2.7,6.9,5.7,5.0,6.0,4.3,3.8,1.3,4.7,6.2,3.5,5.2,6.7,4.2,3.0,3.5,-2.0,4.2,2.4,3.1,1.0,1.1,2.3,2.6,1.6,-9.0,4.7,2.7,0.0,1.6,1.6,1.5,1.5,1.3,1.2
180,Turkmenistan,84.9,77.60000000000001,70.30000000000001,63.0,55.7,48.400000000000006,41.10000000000001,33.800000000000004,26.5,19.200000000000003,11.900000000000002,4.600000000000001,0.0,-10.0,-17.3,-7.2,-6.7,-11.3,6.7,16.5,18.6,20.4,15.8,17.1,14.7,13.0,11.0,11.1,14.7,6.1,16.0,12.7,7.2,-1.8,3.6,2.2,-0.5,2.1,1.7,-3.7,-2.1,-0.3,5.3,2.0,2.3,2.3,2.3,2.3,2.3,2.3
181,Tuvalu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,8.3,-4.4,-1.9,-3.7,1.3,6.9,6.6,-5.6,-2.5,7.5,-2.9,3.8,1.7,9.4,4.8,3.3,1.4,13.9,-3.3,0.2,0.4,3.9,3.5,3.0,2.5,2.2,2.1,2.0
182,"Türkiye, Republic of",-0.8,4.4,3.4,4.8,6.8,4.3,6.9,10.0,2.1,0.3,9.3,0.9,6.0,8.0,-5.5,7.2,7.0,7.5,3.1,-3.3,6.9,-5.8,6.4,5.8,9.8,9.0,6.9,5.0,0.8,-4.8,8.4,11.2,4.8,8.5,4.9,6.1,3.3,7.5,3.0,0.8,1.9,11.4,5.5,5.1,3.0,2.7,3.2,3.4,3.7,3.9
183,Uganda,-3.4,3.9,8.2,4.9,-3.0,-3.0,0.9,4.0,8.3,6.4,6.5,1.8,5.9,6.7,7.7,9.2,6.6,4.6,6.1,8.0,3.9,8.8,7.1,6.2,5.8,10.0,7.0,8.1,10.4,8.1,7.5,7.7,2.3,3.9,5.7,8.0,0.2,6.8,5.6,7.6,-1.1,5.5,6.3,4.6,5.9,7.5,12.3,6.2,6.1,5.9
184,Ukraine,41.69999999999999,37.39999999999999,33.09999999999999,28.79999999999999,24.499999999999993,20.199999999999996,15.899999999999993,11.599999999999993,7.299999999999995,2.9999999999999964,0.0,0.0,-9.9,-14.2,-22.9,-12.2,-10.0,-3.0,-1.9,-0.2,5.9,8.8,5.3,9.5,11.8,3.1,7.6,8.2,2.2,-15.1,4.1,5.5,0.2,0.0,-6.6,-9.8,2.4,2.4,3.5,3.2,-3.8,3.4,-28.8,5.3,3.0,2.5,5.3,4.5,4.3,4.2
185,United Arab Emirates,-1.8,8.0,-7.2,-5.2,4.5,-2.5,-19.3,5.3,-2.6,15.7,23.6,2.2,3.1,0.3,7.4,6.6,5.4,8.6,0.9,3.8,12.3,1.4,2.4,8.8,9.6,4.9,9.8,3.2,3.2,-5.2,5.3,6.2,1.8,5.1,4.2,6.8,5.6,0.7,1.3,1.1,-5.0,4.4,7.5,3.6,4.0,5.1,5.1,4.7,4.4,4.3
186,United Kingdom,-2.1,-0.7,2.0,4.2,2.2,4.1,3.1,5.4,5.4,2.4,0.6,-1.4,0.2,2.3,3.4,2.4,2.6,4.9,3.4,3.1,4.3,2.6,1.8,3.2,2.5,2.7,2.4,2.6,-0.2,-4.6,2.2,1.1,1.5,1.8,3.2,2.2,1.9,2.7,1.4,1.6,-10.3,8.6,4.8,0.3,1.1,1.5,1.5,1.5,1.4,1.3
187,United States,-0.3,2.5,-1.8,4.6,7.2,4.2,3.5,3.5,4.2,3.7,1.9,-0.1,3.5,2.8,4.0,2.7,3.8,4.4,4.5,4.8,4.1,1.0,1.7,2.8,3.8,3.5,2.8,2.0,0.1,-2.6,2.7,1.6,2.3,2.1,2.5,2.9,1.8,2.5,3.0,2.6,-2.2,6.1,2.5,2.9,2.8,2.2,2.0,2.1,2.1,2.1
188,Uruguay,6.0,1.9,-9.4,-5.9,-1.5,0.3,7.5,5.9,0.5,1.1,0.3,3.5,7.9,2.7,7.3,-1.4,5.6,5.5,4.5,-1.9,-1.9,-3.8,-7.7,0.8,5.0,7.5,4.1,6.5,7.2,4.2,7.8,5.2,3.5,4.6,3.2,0.4,1.7,1.7,0.2,0.9,-7.4,5.6,4.7,0.4,3.2,3.0,2.6,2.4,2.3,2.2
189,Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.1,-2.3,-5.2,-0.9,1.7,5.2,4.3,4.3,3.8,4.2,4.0,4.2,7.4,7.0,7.5,9.5,9.0,8.1,7.1,7.5,7.1,7.3,6.9,7.2,5.9,4.4,5.6,6.8,1.6,8.0,6.0,6.3,5.6,5.7,5.7,5.7,5.7,5.7
190,Vanuatu,5.5,4.4,2.0,3.0,9.6,1.0,-0.1,-2.9,-1.7,1.5,11.7,3.1,2.6,0.7,9.1,1.0,2.3,4.9,1.2,0.3,5.9,-3.4,-5.2,4.3,4.0,5.3,8.5,2.9,5.6,3.0,1.3,3.1,1.0,0.5,3.1,0.4,4.7,6.3,2.9,3.2,-5.0,-1.6,1.9,2.2,0.9,1.5,2.1,2.5,2.0,2.0
191,Venezuela,-4.9,-1.3,2.6,-9.9,5.2,0.9,6.1,4.8,6.5,-13.9,6.5,9.7,6.1,0.3,-2.3,4.0,-0.2,6.4,0.3,-6.0,3.7,3.4,-8.9,-7.8,18.3,10.3,9.9,8.8,5.3,-3.2,-1.5,4.2,5.6,1.3,-3.9,-6.2,-17.0,-15.7,-19.7,-27.7,-30.0,1.0,8.0,4.0,3.0,3.0,,,,
192,Vietnam,-3.5,5.8,8.2,7.1,8.4,5.6,3.4,2.5,5.1,7.8,5.0,5.8,8.7,8.1,8.8,9.5,9.3,8.2,5.8,4.8,6.8,6.9,7.1,7.3,7.8,7.5,7.0,7.1,5.7,5.4,6.4,6.4,5.5,5.6,6.4,7.0,6.7,6.9,7.5,7.4,2.9,2.6,8.1,5.0,6.1,6.1,6.0,5.8,5.8,5.6
193,West Bank and Gaza,95.59999999999998,89.69999999999999,83.79999999999998,77.89999999999999,71.99999999999999,66.1,60.199999999999996,54.3,48.4,42.5,36.599999999999994,30.699999999999996,24.799999999999997,18.9,13.0,7.1,1.2,14.7,14.3,8.3,-8.6,-9.3,-12.5,14.0,21.9,11.3,-1.0,3.8,7.4,8.6,5.8,9.6,6.1,4.7,-0.2,3.7,8.9,1.4,1.2,1.4,-11.3,7.0,4.1,-5.4,,,,,,
194,Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000014,2.500000000000001,4.4,6.3,8.2,4.0,6.7,5.7,4.6,5.2,6.0,3.8,6.2,3.8,3.9,3.7,4.0,5.6,3.2,3.3,3.6,3.9,7.7,-12.7,2.4,4.8,-0.2,-28.0,-9.4,-5.1,0.8,2.1,-8.5,-1.0,1.5,-2.0,-1.0,1.5,7.0,6.5,6.0,5.5
195,Zambia,3.9,6.6,-2.9,-1.1,-1.7,1.2,1.7,1.5,9.3,-3.7,-0.6,-0.7,2.1,-0.1,-13.3,2.9,6.2,3.8,-0.4,4.7,3.9,5.3,4.5,6.9,7.0,7.2,7.9,8.4,7.8,9.2,10.3,5.6,7.6,5.1,4.7,2.9,3.8,3.5,4.0,1.4,-2.8,6.2,5.2,5.4,2.3,6.6,5.9,5.6,5.1,4.9
196,Zimbabwe,57.8,54.7,51.6,48.5,45.4,42.3,39.2,36.1,33.0,29.9,26.8,23.7,20.599999999999998,17.5,14.4,11.3,8.200000000000001,5.1,2.0,-1.1,-4.2,-0.5,-7.7,-16.2,-6.3,-7.4,-3.6,-3.4,-16.3,7.4,20.0,14.2,16.7,2.1,2.4,1.8,0.8,5.2,5.0,-6.3,-7.8,8.5,6.1,5.3,2.0,6.0,4.5,3.5,3.5,3.5
197,Africa (Region),22.9,21.0,19.099999999999998,17.2,15.299999999999999,13.399999999999999,11.5,9.6,7.699999999999999,5.8,3.9,2.0,0.1,1.0,2.6,2.8,5.1,3.2,4.0,3.1,4.2,4.5,5.0,5.2,6.0,5.8,5.8,6.1,5.3,3.1,6.0,3.0,5.8,3.7,3.9,3.4,2.2,3.6,3.4,3.1,-1.4,4.7,4.3,3.3,3.0,4.2,4.4,4.3,4.4,4.4
198,Asia and Pacific,4.5,5.2,4.2,5.5,6.4,5.7,5.4,6.8,7.7,5.4,5.7,4.8,5.5,5.1,5.4,6.4,6.4,4.6,1.4,4.5,5.6,3.7,5.0,6.0,6.9,7.0,7.4,8.1,4.8,3.9,8.0,6.1,5.6,5.8,5.5,5.6,5.4,5.7,5.3,4.2,-0.8,7.1,4.1,4.9,4.5,4.4,4.3,4.1,4.0,4.0
199,Australia and New Zealand,2.6,3.9,0.5,-0.4,6.4,4.8,2.3,4.5,3.7,4.0,1.3,-1.0,2.3,4.1,5.0,3.2,4.0,4.4,4.1,4.4,3.3,2.6,4.2,3.2,4.2,3.1,2.7,4.2,2.2,1.5,2.3,2.6,3.6,2.2,2.8,2.5,2.9,2.5,2.9,2.0,-2.0,5.5,3.7,1.8,1.1,2.1,2.3,2.2,2.3,2.4
200,Caribbean,3.9,2.2,0.1,-1.6,-0.1,0.1,2.0,1.8,0.5,1.8,1.6,0.4,2.3,0.0,-0.6,5.1,4.1,3.4,2.8,3.6,3.0,1.7,2.6,5.5,3.0,3.3,6.1,3.6,1.7,-1.4,0.0,2.2,2.3,2.4,2.1,0.5,-1.1,0.3,1.7,0.4,-5.6,4.7,13.1,7.5,11.9,5.5,6.5,8.5,6.3,5.9
201,Central America,2.3,1.5,-1.7,0.6,2.2,0.4,2.3,4.1,-0.1,3.2,2.1,2.4,7.2,5.4,3.3,4.6,3.8,5.6,5.4,4.0,3.5,2.4,3.3,2.2,4.0,5.6,6.9,7.2,4.5,-0.1,5.1,5.2,4.7,4.3,4.7,4.9,4.5,4.3,3.9,3.4,-6.8,11.1,5.4,4.1,3.8,3.8,4.0,4.1,4.1,4.1
202,Central Asia and the Caucasus,127.1,117.49999999999999,107.89999999999999,98.3,88.69999999999999,79.1,69.5,59.89999999999999,50.3,40.699999999999996,31.099999999999998,21.5,11.899999999999999,2.3,-7.3,3.8,5.6,6.5,2.8,-1.1,7.2,-1.1,7.1,6.8,9.5,9.7,8.8,7.4,2.9,-1.2,8.1,9.6,5.2,7.4,4.8,4.9,2.8,6.2,3.3,2.1,0.4,8.7,5.2,5.0,3.5,3.4,3.5,3.6,3.6,3.9
203,East Asia,4.1,4.8,4.7,6.0,7.5,7.1,5.7,7.6,8.3,5.0,5.0,5.8,5.5,5.0,6.1,6.3,6.1,4.9,2.1,4.5,6.0,4.1,5.2,5.8,6.6,7.1,7.9,9.2,5.4,4.1,8.6,6.6,5.7,5.9,5.5,5.3,5.2,5.6,5.3,4.5,1.0,7.3,2.6,4.3,4.0,3.8,3.5,3.1,2.9,2.8
204,Eastern Europe ,-0.9,-2.7,0.5,4.5,2.9,1.6,3.1,2.4,1.4,0.0,-6.4,-10.2,-11.3,-7.0,-8.6,-1.8,-0.4,1.5,-1.3,3.7,7.1,4.6,4.3,6.2,7.2,5.6,7.5,7.7,4.8,-6.2,3.3,3.9,2.4,1.3,1.2,-0.1,1.4,3.2,3.7,3.0,-3.0,5.9,-0.4,2.6,3.1,2.1,2.2,2.1,2.1,2.1
205,Europe,1.4,-0.2,0.7,2.0,2.6,2.6,2.7,2.9,4.0,3.5,2.5,1.1,-1.8,-1.8,0.2,1.7,1.4,2.7,2.2,3.2,4.7,2.7,1.8,2.3,3.5,2.9,4.3,4.1,1.5,-4.8,2.5,2.3,0.3,0.5,1.6,1.6,1.7,2.8,2.3,2.0,-5.4,6.4,2.4,1.2,1.6,1.6,1.7,1.6,1.6,1.5
206,Middle East (Region),-2.1,1.9,-1.3,0.4,-0.5,-0.4,-3.8,1.1,0.1,3.7,9.8,8.1,7.5,2.3,2.3,3.1,4.5,3.8,3.0,1.2,6.1,1.6,2.4,5.5,10.0,4.9,5.8,5.4,4.5,0.8,5.6,6.4,3.1,2.6,3.6,2.3,5.4,1.1,1.5,0.6,-3.1,4.4,6.2,1.3,1.9,3.8,4.1,3.6,3.3,3.2
207,North Africa,0.5,-2.6,5.7,4.1,4.1,5.6,1.1,-0.1,3.3,4.0,2.5,4.4,0.0,-0.1,3.6,0.7,5.5,2.8,6.0,4.1,4.3,3.8,3.1,5.8,4.6,5.1,5.2,5.5,5.0,2.9,4.8,0.0,8.9,1.9,2.0,3.6,3.3,5.0,4.1,3.2,-0.9,4.8,4.8,3.8,2.9,4.0,4.2,4.1,4.4,4.4
208,North America,1.1,3.5,-1.7,3.3,6.7,3.9,2.6,3.4,3.9,3.6,2.1,0.2,3.3,2.8,4.1,1.8,3.9,4.7,4.6,4.6,4.3,0.9,1.6,2.6,3.8,3.3,3.0,2.0,0.3,-3.0,2.9,1.9,2.4,2.0,2.5,2.7,1.7,2.4,2.8,2.2,-3.0,6.0,2.7,2.8,2.5,2.1,2.0,2.1,2.1,2.1
209,Pacific Islands ,-1.9,2.7,0.2,0.8,4.2,0.9,5.6,-0.3,3.0,4.2,0.6,4.7,10.6,8.9,8.5,-0.5,5.7,-4.4,3.3,3.8,-2.1,0.5,1.1,6.0,2.4,2.6,2.5,4.7,0.6,3.9,7.6,2.0,3.4,3.9,10.4,5.7,4.8,4.0,0.9,3.1,-6.1,-1.6,8.0,4.0,4.2,3.5,3.3,3.0,3.1,3.0
210,South America,5.4,-2.4,-0.5,-2.6,4.3,3.5,7.1,3.8,1.1,-0.4,-1.1,4.2,3.4,4.6,4.9,3.5,2.7,4.9,1.3,-1.4,3.0,0.8,0.0,2.3,7.3,5.3,5.8,6.8,5.0,-1.1,6.7,5.0,2.6,3.4,0.5,-1.0,-2.3,0.9,0.5,0.0,-6.3,7.5,4.0,1.5,1.8,2.7,2.7,2.7,2.6,2.5
211,South Asia,6.6,5.8,4.1,6.6,4.2,5.6,5.0,4.1,8.3,5.4,5.4,2.3,5.5,4.4,6.1,6.9,7.3,4.0,5.4,7.6,4.1,4.5,3.6,7.2,7.6,7.7,7.6,7.2,3.6,6.6,7.5,5.2,5.4,6.0,6.8,7.3,7.6,6.6,6.4,4.1,-4.5,8.9,6.6,7.0,6.4,6.0,6.3,6.3,6.3,6.3
212,Southeast Asia,6.7,6.5,4.2,4.7,4.9,1.7,4.9,6.5,8.5,9.2,8.4,7.3,6.8,7.8,7.8,8.0,7.4,4.0,-7.1,3.4,5.9,3.4,5.2,5.9,6.5,5.7,6.0,6.6,5.1,2.4,7.4,4.9,6.1,5.1,4.8,4.9,5.1,5.4,5.3,4.7,-3.3,3.4,5.5,4.1,4.6,4.7,4.6,4.6,4.6,4.6
213,Sub-Saharan Africa (Region) ,3.7000000000000006,3.4000000000000004,3.1,2.8000000000000003,2.5000000000000004,2.2,1.9000000000000004,1.6,1.3000000000000003,1.0,0.7000000000000001,0.4,0.1,1.6,1.9,4.2,4.8,3.5,2.7,2.4,4.1,5.0,6.2,4.9,6.8,6.3,6.1,6.5,5.5,3.2,6.8,4.6,4.0,4.7,4.9,3.3,1.7,2.9,3.1,3.0,-1.6,4.6,3.9,3.0,3.1,4.3,4.6,4.4,4.4,4.4
214,Western Europe,1.7,0.1,0.8,1.8,2.5,2.7,2.7,3.0,4.2,3.8,3.2,2.0,1.2,-0.2,2.7,2.6,1.9,3.1,3.1,3.0,4.0,2.2,1.0,1.1,2.3,1.9,3.2,2.8,0.3,-4.3,2.2,1.6,-0.5,0.2,1.7,2.2,1.8,2.6,1.7,1.6,-6.5,6.6,3.7,0.5,0.9,1.3,1.5,1.4,1.3,1.2
215,Western Hemisphere (Region),2.1,2.2,-1.4,2.0,6.1,3.8,3.5,3.5,3.2,2.8,1.5,1.0,3.4,3.2,4.2,2.2,3.6,4.8,4.0,3.4,4.0,0.9,1.3,2.5,4.4,3.7,3.6,3.1,1.3,-2.5,3.8,2.6,2.5,2.3,2.1,2.0,0.9,2.1,2.4,1.8,-3.7,6.4,3.1,2.6,2.5,2.3,2.2,2.3,2.3,2.2
216,ASEAN-5,7.6,6.5,3.8,4.5,4.6,1.3,5.2,7.0,9.0,9.4,8.8,7.5,6.7,7.9,7.7,7.9,7.3,3.7,-8.7,3.1,5.6,2.7,4.9,5.5,6.2,5.3,5.7,6.4,4.9,1.9,7.6,4.6,6.2,4.9,4.4,4.6,4.8,5.2,5.0,4.2,-4.4,4.1,5.4,4.0,4.5,4.5,4.5,4.5,4.5,4.5
217,Advanced economies,1.3,1.8,0.2,3.2,4.8,3.7,3.3,3.8,4.7,4.0,3.1,1.6,2.2,1.3,3.4,2.9,3.0,3.5,2.8,3.6,4.2,1.6,1.6,2.0,3.3,2.8,3.1,2.8,0.3,-3.4,3.1,1.8,1.2,1.5,2.1,2.4,1.8,2.6,2.3,1.9,-4.0,6.0,2.9,1.7,1.8,1.8,1.8,1.7,1.7,1.7
218,Emerging and Developing Asia,6.8,5.8,5.0,6.9,7.4,6.5,6.1,7.1,9.3,6.2,5.9,5.9,8.8,8.9,9.2,8.8,8.4,6.0,2.9,6.6,6.4,6.0,6.5,8.2,8.4,8.9,9.7,10.6,7.0,7.4,9.2,7.5,7.0,6.8,6.8,6.8,6.8,6.6,6.4,5.3,-0.5,7.7,4.4,5.7,5.3,5.0,4.9,4.6,4.5,4.5
219,Emerging and Developing Europe,-0.8,-0.6,1.4,4.6,4.1,2.4,4.3,5.0,1.6,0.1,-0.4,-5.7,-8.8,-4.6,-8.7,-0.5,0.4,2.5,-0.8,2.6,7.5,2.8,4.8,6.2,7.9,6.2,7.4,7.2,4.3,-5.8,4.4,5.6,3.1,2.9,1.9,0.9,1.7,4.2,3.6,2.5,-1.8,7.1,0.6,3.3,3.2,2.2,2.5,2.4,2.5,2.5
220,Emerging market and developing economies,3.9,2.3,1.7,1.9,4.3,3.6,3.6,4.2,4.1,3.3,3.6,3.9,2.1,2.9,2.8,3.8,5.0,4.7,2.4,3.5,5.6,3.7,4.3,6.1,7.7,6.9,7.8,8.1,5.6,2.5,7.2,6.1,5.2,4.9,4.7,4.3,4.4,4.8,4.7,3.7,-1.8,7.0,4.0,4.4,4.2,4.2,4.2,4.0,3.9,3.9
221,Euro area,27.8,25.6,23.4,21.2,19.0,16.8,14.600000000000001,12.4,10.200000000000001,8.0,5.800000000000001,3.6,1.4,-0.8,2.5,2.9,1.7,2.7,3.0,3.0,3.8,2.1,0.9,0.7,2.3,1.8,3.3,3.0,0.4,-4.5,2.1,1.7,-0.9,-0.2,1.4,2.1,1.8,2.6,1.8,1.6,-6.1,6.2,3.3,0.4,0.8,1.2,1.5,1.4,1.3,1.2
222,European Union,1.8,-0.2,0.6,1.7,2.6,2.2,2.7,2.6,3.8,3.6,2.8,1.6,1.0,-0.6,2.7,2.9,2.1,2.7,3.0,2.9,4.0,2.2,1.3,1.2,2.8,2.2,3.8,3.3,0.9,-4.2,2.0,2.0,-0.7,0.0,1.7,2.5,2.0,3.0,2.2,2.0,-5.6,6.4,3.7,0.6,1.1,1.6,1.7,1.6,1.6,1.5
223,Latin America and the Caribbean,6.3,1.4,-0.4,-3.0,3.9,2.8,3.8,3.3,1.0,0.9,0.9,4.0,3.6,4.1,4.6,1.1,3.7,5.6,3.0,0.2,3.6,0.5,0.1,2.1,6.0,4.4,5.6,5.5,3.9,-2.3,6.1,4.6,3.0,2.8,1.3,0.4,-0.8,1.4,1.1,0.2,-6.9,7.4,4.2,2.2,2.1,2.5,2.7,2.8,2.7,2.6
224,Major advanced economies (G7),0.9,1.8,-0.1,3.3,5.0,3.8,3.1,3.5,4.7,3.8,2.8,1.3,2.1,1.1,3.0,2.5,2.8,3.2,2.9,3.2,3.8,1.3,1.1,1.9,2.9,2.6,2.6,2.1,0.0,-3.7,2.9,1.7,1.3,1.5,2.0,2.2,1.6,2.4,2.1,1.7,-4.2,5.8,2.6,1.9,1.7,1.7,1.7,1.6,1.6,1.6
225,Middle East and Central Asia,-0.8,1.0,1.5,1.9,1.0,2.1,-1.1,1.1,1.8,4.0,6.8,6.7,4.7,0.5,1.6,1.9,4.7,3.3,3.8,2.6,5.5,3.3,3.3,6.0,8.4,5.9,6.4,6.0,4.9,1.7,5.2,4.4,4.4,2.9,3.4,2.9,4.3,2.6,2.7,1.9,-2.2,4.4,5.5,2.1,2.4,3.9,4.2,3.9,3.8,3.8
226,Other advanced economies,3.6,4.2,2.2,4.0,6.5,4.4,5.5,6.5,5.5,4.6,4.4,3.7,3.9,4.2,6.2,5.3,4.8,4.6,1.0,5.6,5.9,2.2,3.9,2.7,5.2,4.2,4.8,5.2,1.8,-0.8,6.0,3.4,2.2,2.6,3.0,2.4,2.7,3.2,2.8,2.0,-1.6,5.9,2.7,1.8,2.1,2.2,2.3,2.2,2.2,2.1
227,Sub-Saharan Africa,3.400000000000001,3.1000000000000005,2.8000000000000003,2.5000000000000004,2.2000000000000006,1.9000000000000004,1.6000000000000003,1.3000000000000003,1.0000000000000002,0.7000000000000001,0.4,0.1,-0.2,1.5,1.9,3.9,4.8,3.4,2.4,2.3,3.8,4.6,6.2,4.7,6.9,6.3,6.0,6.6,5.6,3.6,7.0,5.0,5.0,4.9,5.0,3.2,1.5,3.0,3.3,3.2,-1.6,4.8,4.1,3.6,3.6,4.2,4.4,4.3,4.4,4.4
228,World,2.2,2.0,0.7,2.7,4.6,3.7,3.4,3.9,4.5,3.7,3.2,2.4,2.2,1.9,3.2,3.3,3.9,4.0,2.6,3.6,4.8,2.5,2.8,3.8,5.3,4.7,5.3,5.3,2.9,-0.4,5.2,4.0,3.3,3.4,3.5,3.4,3.3,3.8,3.6,2.9,-2.7,6.6,3.6,3.3,3.2,3.2,3.3,3.2,3.1,3.1
229,,3.400000000000001,3.1000000000000005,2.8000000000000003,2.5000000000000004,2.2000000000000006,1.9000000000000004,1.6000000000000003,1.3000000000000003,1.0000000000000002,0.7000000000000001,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
230,"©IMF, 2024",3.400000000000001,3.1000000000000005,2.8000000000000003,2.5000000000000004,2.2000000000000006,1.9000000000000004,1.6000000000000003,1.3000000000000003,1.0000000000000002,0.7000000000000001,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
